transaction_id;user_id;transaction_date;transaction_hour;voucher_price;payment_method;age_group;city;seabank_user;shopeepay_balance;registered_payment_methods;avg_monthly_transaction;status;cancel_stage
1;77;28/01/2025;0;29995;debit_card;35-44;Makassar;TRUE;53281;3;1474502;completed;
2;896;27/02/2025;4;49995;debit_card;18-24;Bandung;FALSE;79509;3;1838809;cancelled;payment
3;549;22/02/2025;5;29995;seabank;25-34;Jakarta;TRUE;39986;2;144449;cancelled;payment
4;798;28/01/2025;11;49995;shopeepay;25-34;Jakarta;TRUE;97356;1;1757026;completed;
5;1453;11/02/2025;11;29995;seabank;35-44;Bandung;TRUE;45612;2;702583;completed;
6;1509;26/03/2025;20;49995;seabank;25-34;Surabaya;FALSE;69284;3;1838204;completed;
7;815;14/03/2025;13;49995;seabank;35-44;Jakarta;FALSE;101311;3;1749219;completed;
8;2183;02/03/2025;6;49995;shopeepay;18-24;Jakarta;TRUE;31276;2;1862146;completed;
9;2702;20/03/2025;19;29995;debit_card;45+;Medan;FALSE;112808;2;1472514;completed;
10;1584;02/02/2025;20;49995;debit_card;25-34;Bandung;TRUE;10247;2;832129;completed;
11;646;24/02/2025;19;29995;shopeepay;35-44;Jakarta;FALSE;128019;2;1590709;cancelled;detail
12;1826;06/02/2025;13;29995;shopeepay;25-34;Jakarta;FALSE;83749;3;527563;completed;
13;720;16/02/2025;15;29995;shopeepay;35-44;Jakarta;TRUE;197105;3;350206;completed;
14;1523;05/02/2025;8;29995;shopeepay;25-34;Bandung;FALSE;181136;1;410868;completed;
15;2661;28/01/2025;1;29995;debit_card;25-34;Jakarta;FALSE;138874;2;928839;cancelled;payment
16;2532;10/01/2025;16;49995;shopeepay;35-44;Jakarta;TRUE;120474;1;1398722;completed;
17;1070;23/01/2025;3;49995;debit_card;18-24;Bandung;TRUE;50061;1;570436;completed;
18;1467;05/01/2025;13;29995;shopeepay;45+;Jakarta;FALSE;88757;1;803523;completed;
19;648;23/03/2025;13;29995;debit_card;25-34;Medan;FALSE;187952;2;1016754;completed;
20;792;06/01/2025;14;29995;shopeepay;25-34;Jakarta;TRUE;91654;3;949079;cancelled;detail
21;579;11/02/2025;11;49995;shopeepay;25-34;Surabaya;FALSE;28767;3;743556;completed;
22;2049;16/02/2025;12;49995;debit_card;25-34;Jakarta;FALSE;167732;2;383477;cancelled;payment
23;2157;28/03/2025;21;29995;shopeepay;18-24;Jakarta;FALSE;17175;1;1470311;cancelled;payment
24;460;28/01/2025;9;49995;shopeepay;18-24;Surabaya;TRUE;44308;2;1867705;completed;
25;2314;13/01/2025;15;29995;seabank;35-44;Makassar;FALSE;132154;3;267522;completed;
26;1162;25/01/2025;14;29995;shopeepay;18-24;Jakarta;FALSE;136578;1;1734409;completed;
27;44;07/01/2025;7;29995;debit_card;45+;Medan;TRUE;133315;3;1572668;completed;
28;2934;07/03/2025;3;29995;debit_card;25-34;Makassar;FALSE;26883;1;1379556;cancelled;payment
29;1534;21/03/2025;0;29995;shopeepay;18-24;Jakarta;FALSE;176169;1;456743;completed;
30;2992;27/02/2025;13;29995;debit_card;35-44;Medan;TRUE;141868;3;109789;completed;
31;983;07/03/2025;8;29995;shopeepay;18-24;Jakarta;FALSE;91472;3;297117;completed;
32;2310;05/02/2025;18;29995;seabank;25-34;Bandung;FALSE;122540;3;1105888;completed;
33;2776;02/01/2025;5;29995;debit_card;25-34;Medan;TRUE;172349;3;1204137;completed;
34;633;07/02/2025;15;29995;seabank;25-34;Medan;FALSE;86153;3;1926919;completed;
35;2200;15/03/2025;23;49995;seabank;25-34;Jakarta;TRUE;146474;3;1208786;completed;
36;2261;14/01/2025;10;29995;shopeepay;35-44;Jakarta;TRUE;25710;1;1506463;completed;
37;1258;27/01/2025;20;29995;shopeepay;25-34;Medan;TRUE;130509;2;1884746;completed;
38;2911;15/01/2025;22;29995;seabank;18-24;Medan;FALSE;71745;3;832884;completed;
39;623;26/03/2025;10;29995;shopeepay;25-34;Jakarta;FALSE;155546;3;1248826;completed;
40;1978;12/01/2025;13;29995;seabank;25-34;Jakarta;FALSE;188137;3;1996758;completed;
41;361;12/02/2025;10;29995;shopeepay;25-34;Bandung;TRUE;172440;3;70195;completed;
42;2368;26/02/2025;13;29995;seabank;25-34;Medan;FALSE;111975;3;566066;cancelled;browse
43;2270;27/03/2025;0;49995;shopeepay;25-34;Jakarta;FALSE;118968;2;526113;completed;
44;210;17/02/2025;10;49995;seabank;18-24;Surabaya;TRUE;63146;1;1018303;completed;
45;931;02/03/2025;23;49995;debit_card;18-24;Makassar;TRUE;158525;3;419625;cancelled;payment
46;1607;23/03/2025;17;49995;debit_card;18-24;Bandung;TRUE;122141;3;1300714;completed;
47;489;13/02/2025;16;29995;shopeepay;45+;Jakarta;FALSE;13919;1;622569;cancelled;payment
48;601;21/02/2025;3;49995;shopeepay;18-24;Jakarta;FALSE;98112;3;931965;completed;
49;774;03/03/2025;21;29995;debit_card;25-34;Surabaya;TRUE;167364;3;1054944;completed;
50;878;02/01/2025;13;49995;shopeepay;25-34;Bandung;TRUE;22106;1;1987215;completed;
51;1488;12/03/2025;7;49995;seabank;25-34;Medan;FALSE;53740;2;1981363;cancelled;payment
52;700;31/01/2025;14;49995;shopeepay;25-34;Jakarta;TRUE;65363;1;1825821;completed;
53;2500;23/03/2025;15;49995;debit_card;25-34;Surabaya;TRUE;71074;1;326016;completed;
54;2461;14/03/2025;0;29995;debit_card;45+;Bandung;FALSE;149765;2;1912405;completed;
55;1958;13/03/2025;0;29995;seabank;25-34;Surabaya;FALSE;58046;2;742456;completed;
56;2524;02/02/2025;9;29995;debit_card;25-34;Medan;FALSE;199695;1;1114511;cancelled;payment
57;256;05/01/2025;1;29995;shopeepay;25-34;Jakarta;FALSE;158992;3;745087;completed;
58;1174;19/03/2025;11;49995;shopeepay;18-24;Medan;FALSE;152873;1;278443;completed;
59;2175;27/02/2025;3;49995;shopeepay;18-24;Medan;FALSE;69806;1;752551;completed;
60;392;18/03/2025;22;29995;debit_card;25-34;Bandung;FALSE;162776;3;839575;completed;
61;2528;11/01/2025;18;29995;shopeepay;45+;Jakarta;FALSE;120155;3;575608;cancelled;payment
62;993;25/03/2025;0;29995;debit_card;18-24;Bandung;TRUE;20545;1;1076538;completed;
63;2971;23/01/2025;0;29995;debit_card;25-34;Bandung;TRUE;137392;1;118772;completed;
64;2450;14/02/2025;8;29995;debit_card;25-34;Jakarta;FALSE;52275;1;1784921;completed;
65;2322;27/01/2025;19;29995;shopeepay;35-44;Jakarta;FALSE;72008;2;1819540;completed;
66;845;20/03/2025;12;29995;debit_card;18-24;Jakarta;FALSE;118013;2;1004881;completed;
67;139;25/02/2025;10;49995;debit_card;25-34;Medan;FALSE;179863;2;1105308;completed;
68;103;28/02/2025;18;49995;debit_card;25-34;Makassar;TRUE;160230;1;1327040;cancelled;payment
69;1266;21/03/2025;20;29995;seabank;18-24;Medan;TRUE;87594;2;1305672;completed;
70;1141;09/02/2025;16;29995;seabank;35-44;Jakarta;FALSE;132717;3;140153;cancelled;payment
71;1238;18/01/2025;2;49995;seabank;25-34;Bandung;FALSE;146851;1;1251832;completed;
72;484;20/02/2025;19;29995;shopeepay;25-34;Makassar;TRUE;161386;3;926861;completed;
73;2577;02/03/2025;12;49995;seabank;45+;Surabaya;FALSE;25801;2;1802362;completed;
74;224;23/01/2025;21;29995;debit_card;25-34;Jakarta;FALSE;144535;3;756791;cancelled;browse
75;1294;05/02/2025;18;49995;debit_card;25-34;Makassar;FALSE;173497;2;116535;cancelled;detail
76;1849;07/02/2025;19;29995;seabank;35-44;Bandung;TRUE;142127;1;763341;completed;
77;1885;13/03/2025;20;29995;shopeepay;18-24;Jakarta;TRUE;113926;1;1590978;completed;
78;2162;25/02/2025;23;29995;shopeepay;25-34;Jakarta;TRUE;116779;1;1718713;completed;
79;1465;08/02/2025;8;49995;seabank;45+;Surabaya;FALSE;66612;3;703114;completed;
80;644;17/03/2025;18;29995;seabank;25-34;Medan;FALSE;128344;1;1003283;completed;
81;2699;23/03/2025;18;29995;shopeepay;35-44;Makassar;FALSE;171451;3;1475439;cancelled;payment
82;1256;24/03/2025;22;49995;debit_card;25-34;Surabaya;FALSE;189059;2;1295315;completed;
83;458;10/03/2025;0;29995;shopeepay;25-34;Surabaya;FALSE;9470;3;1749777;cancelled;payment
84;2423;28/01/2025;16;49995;debit_card;35-44;Makassar;TRUE;150408;1;1770442;completed;
85;1628;31/03/2025;13;49995;seabank;25-34;Medan;FALSE;84612;3;1801489;completed;
86;611;21/01/2025;11;29995;seabank;18-24;Surabaya;FALSE;185993;1;1519052;completed;
87;207;03/03/2025;1;29995;shopeepay;18-24;Bandung;TRUE;88713;3;647446;completed;
88;1544;23/01/2025;21;29995;shopeepay;18-24;Jakarta;FALSE;9404;2;776272;completed;
89;1467;21/01/2025;2;49995;shopeepay;45+;Jakarta;FALSE;88757;1;803523;cancelled;payment
90;917;16/03/2025;23;29995;debit_card;18-24;Surabaya;FALSE;74135;3;362601;completed;
91;2369;16/01/2025;4;29995;shopeepay;25-34;Bandung;FALSE;97169;1;1578618;completed;
92;2141;03/03/2025;2;29995;shopeepay;35-44;Surabaya;TRUE;81748;2;1729310;completed;
93;1432;06/03/2025;13;49995;debit_card;25-34;Medan;FALSE;51553;2;1821853;completed;
94;1182;21/03/2025;23;29995;seabank;25-34;Surabaya;FALSE;111780;1;489268;completed;
95;2920;05/01/2025;23;29995;debit_card;25-34;Surabaya;FALSE;142167;1;181930;completed;
96;2147;15/02/2025;17;49995;shopeepay;25-34;Surabaya;TRUE;39142;3;626435;completed;
97;2273;05/03/2025;4;49995;debit_card;25-34;Jakarta;TRUE;48634;2;1356212;completed;
98;852;23/03/2025;2;29995;debit_card;35-44;Jakarta;FALSE;147049;1;1418040;completed;
99;441;10/02/2025;22;29995;debit_card;18-24;Jakarta;TRUE;59875;3;610451;completed;
100;720;13/02/2025;1;29995;shopeepay;35-44;Jakarta;TRUE;197105;3;350206;completed;
101;585;30/03/2025;8;49995;shopeepay;25-34;Medan;FALSE;67438;2;1888042;completed;
102;2015;15/01/2025;17;49995;debit_card;25-34;Jakarta;FALSE;41751;3;1761742;completed;
103;64;09/03/2025;1;29995;shopeepay;25-34;Surabaya;FALSE;108352;1;1696998;completed;
104;768;20/02/2025;21;29995;seabank;35-44;Medan;TRUE;121412;3;383390;cancelled;detail
105;560;23/02/2025;18;29995;seabank;25-34;Medan;FALSE;158651;2;734116;completed;
106;1734;09/03/2025;2;49995;debit_card;25-34;Makassar;FALSE;42407;3;1417904;completed;
107;670;30/03/2025;17;49995;seabank;18-24;Medan;TRUE;20504;1;61171;completed;
108;1543;18/03/2025;13;29995;shopeepay;25-34;Jakarta;FALSE;116196;2;1404981;completed;
109;1272;11/02/2025;12;29995;seabank;35-44;Makassar;FALSE;95815;1;73694;completed;
